City,Temperature,Feels_Like_F,Humidity_,Weather_Condition,Wind_Speed_mph,Timestamp
Miami,80.42,84.22,74,scattered clouds,5.75,2025-02-04 11:19:47.688012
Nashville,56.61,56.01,86,overcast clouds,10.36,2025-02-04 11:19:47.688012
New York,44.6,36.12,44,few clouds,21.85,2025-02-04 11:19:47.688012
Seattle,34.83,27.07,91,broken clouds,10.36,2025-02-04 12:23:05.790703
Los Angeles,58.23,57.33,76,broken clouds,8.05,2025-02-04 12:23:05.790703
Las Vegas,70.38,68.47,29,few clouds,10.36,2025-02-04 12:23:05.790703
Fort Worth,53.87,52.48,75,overcast clouds,12.66,2025-02-04 12:23:05.790703
Miami,80.67,84.38,72,scattered clouds,8.05,2025-02-04 12:23:05.790703
Nashville,53.87,52.81,82,mist,12.66,2025-02-04 12:23:05.790703
New York,43.34,33.19,40,clear sky,28.77,2025-02-04 12:23:05.790703
Seattle,41.23,36.07,71,clear sky,8.05,2025-02-04 15:49:44.823249
Los Angeles,63.59,62.56,62,few clouds,10.36,2025-02-04 15:49:44.823249
Las Vegas,77.54,75.94,20,clear sky,18.41,2025-02-04 15:49:44.823249
Fort Worth,55.71,54.09,66,overcast clouds,10.36,2025-02-04 15:49:44.823249
Miami,78.15,79.11,73,few clouds,8.05,2025-02-04 15:49:44.823249
Nashville,52.11,50.59,76,mist,6.91,2025-02-04 15:49:44.823249
New York,39.83,29.82,40,few clouds,21.85,2025-02-04 15:49:44.823249
Seattle,38.34,31.95,76,broken clouds,9.22,2025-02-04 19:22:55.945449
Los Angeles,59.61,58.8,75,overcast clouds,10.36,2025-02-04 19:22:55.945449
Las Vegas,73.0,70.95,20,clear sky,17.27,2025-02-04 19:22:55.945449
Fort Worth,52.45,50.83,73,overcast clouds,10.36,2025-02-04 19:22:55.945449
Miami,72.95,73.89,84,clear sky,8.05,2025-02-04 19:22:55.945449
Nashville,50.92,49.37,78,overcast clouds,6.91,2025-02-04 19:22:55.945449
New York,35.01,24.37,52,clear sky,18.41,2025-02-04 19:22:55.945449
Seattle,38.34,31.95,76,broken clouds,9.22,2025-02-04 19:23:05.102087
Los Angeles,59.61,58.8,75,overcast clouds,10.36,2025-02-04 19:23:05.102087
Las Vegas,73.0,70.95,20,clear sky,17.27,2025-02-04 19:23:05.102087
Fort Worth,52.45,50.83,73,overcast clouds,10.36,2025-02-04 19:23:05.102087
Miami,72.95,73.89,84,clear sky,8.05,2025-02-04 19:23:05.102087
Nashville,50.92,49.37,78,overcast clouds,6.91,2025-02-04 19:23:05.102087
New York,35.01,24.37,52,clear sky,18.41,2025-02-04 19:23:05.102087
